version,team,continent,is_host,goals_scored_last_4y,goals_received_last_4y,wins_last_4y,losses_last_4y,draws_last_4y,world_cup_titles_before,squad_total_market_value_eur,fifa_rank_pre_tournament,fifa_points_pre_tournament,squad_avg_age,world_cup_participations_before,groups_passed_before,round16_before,quarterfinals_before,semifinals_before,finals_before,winner,finalist,semi_finalist,quarter_finalist
2006,Spain,Europe,0,88,23,29,2,14,0,1310000000,5,756,26.6,11,7,5,4,0,0,0,0,0,0
2006,Sweden,Europe,0,103,52,22,12,18,0,363780000,16,709,26.3,10,7,3,4,3,1,0,0,0,0
2006,Switzerland,Europe,0,64,46,17,9,13,0,322100000,35,648,27.9,7,4,3,3,0,0,0,0,0,0
2006,Togo,Africa,0,44,37,17,12,5,0,29750000,61,569,25.4,0,0,0,0,0,0,0,0,0,0
2006,Trinidad and Tobago,North America,0,99,95,32,30,11,0,10100000,47,604,24.6,0,0,0,0,0,0,0,0,0,0
2006,Tunisia,Africa,0,76,44,26,9,14,0,50600000,21,693,25.6,3,0,0,0,0,0,0,0,0,0
2006,Ukraine,Europe,0,46,30,15,9,16,0,266700000,45,609,26.6,0,0,0,0,0,0,0,0,0,1
2006,United States,North America,0,108,38,38,10,13,0,350700000,5,756,26.3,7,4,3,2,1,0,0,0,0,0
2018,Argentina,South America,0,95,40,27,8,12,2,678320000,5,1241,29.52,16,13,8,9,5,5,0,0,0,0
2018,Australia,Oceania,0,85,48,23,11,12,0,50210000,36,718,28.13,4,1,1,0,0,0,0,0,0,0
2018,Belgium,Europe,0,116,38,30,5,8,0,753250000,3,1298,27.59,12,8,7,2,1,0,0,0,1,1
2018,Brazil,South America,0,95,22,33,4,8,5,980020000,2,1430,28.6,20,18,10,14,10,6,0,0,0,1
2018,Colombia,South America,0,57,37,19,11,13,0,250850000,16,985,28.39,5,2,2,1,0,0,0,0,0,0
2018,Costa Rica,North America,0,70,59,21,15,13,0,39960000,23,884,29.78,4,2,2,1,0,0,0,0,0,0
2018,Croatia,Europe,0,78,29,25,8,10,0,363640000,20,945,27.9,4,1,1,1,1,0,0,1,1,1
2018,Denmark,Europe,0,61,36,17,11,12,0,259040000,12,1051,27.14,4,3,3,1,0,0,0,0,0,0
2018,Egypt,Africa,0,50,27,23,13,7,0,197030000,45,649,28.98,2,1,1,0,0,0,0,0,0,0
2018,England,Europe,0,79,28,29,5,10,1,873130000,12,1050,26.05,14,11,6,8,2,1,0,0,1,1
2018,France,Europe,0,96,45,33,8,8,1,1029470000,7,1198,26.03,14,8,6,7,5,2,1,1,1,1
2018,Germany,Europe,0,111,46,30,10,10,4,882120000,1,1558,27.14,18,18,10,16,13,8,0,0,0,0
2018,Iceland,Europe,0,85,64,24,18,9,0,75380000,22,908,28.58,0,0,0,0,0,0,0,0,0,0
2018,Iran,Asia,0,84,22,30,4,9,0,46750000,37,708,27.23,4,0,0,0,0,0,0,0,0,0
2018,Japan,Asia,0,107,50,28,12,11,0,75520000,61,520,28.58,5,2,2,0,0,0,0,0,0,0
2018,Mexico,North America,0,107,67,37,12,18,0,152150000,15,989,29.24,15,8,7,2,0,0,0,0,0,0
2018,Morocco,Africa,0,70,19,26,8,8,0,129330000,41,685,27.23,4,1,1,0,0,0,0,0,0,0
2018,Nigeria,Africa,0,48,33,16,11,10,0,134720000,48,617,25.96,5,3,3,0,0,0,0,0,0,0
2018,Panama,North America,0,58,62,17,18,17,0,6270000,55,571,28.87,0,0,0,0,0,0,0,0,0,0
2018,Peru,South America,0,76,47,26,12,12,0,38480000,11,1125,27.44,4,2,0,1,0,0,0,0,0,0
2018,Poland,Europe,0,91,40,22,5,13,0,274280000,8,1182,28.31,7,5,2,2,2,0,0,0,0,0
2018,Portugal,Europe,0,100,36,33,10,9,0,494010000,4,1273,28.37,6,3,2,2,2,0,0,0,0,0
2018,Russia,Europe,1,65,54,15,16,11,0,161640000,70,456,28.84,3,0,0,0,0,0,0,0,0,1
2018,Saudi Arabia,Asia,0,97,66,25,18,8,0,18800000,67,465,28.73,4,1,1,0,0,0,0,0,0,0
2018,Senegal,Africa,0,70,25,27,5,13,0,299200000,27,837,26.99,1,1,1,1,0,0,0,0,0,0
2018,Serbia,Europe,0,55,45,16,13,8,0,283720000,34,750,26.76,11,7,2,5,2,0,0,0,0,0
2018,South Korea,Asia,0,92,51,33,14,11,0,87430000,57,543,27.79,9,2,2,1,1,0,0,0,0,0
2018,Spain,Europe,0,103,29,29,7,8,1,973030000,10,1125,28.49,14,9,7,5,1,1,0,0,0,0
2018,Sweden,Europe,0,71,40,20,13,15,0,119640000,24,879,28.24,11,8,4,4,3,1,0,0,0,1
2018,Switzerland,Europe,0,75,31,25,8,7,0,217880000,6,1198,27.18,10,6,5,3,0,0,0,0,0,0
2018,Tunisia,Africa,0,66,44,21,10,14,0,58820000,21,909,26.53,4,0,0,0,0,0,0,0,0,0
2018,Uruguay,South America,0,67,42,21,12,8,2,372630000,14,1018,28.13,12,9,4,5,4,1,0,0,0,1
2022,Argentina,South America,0,98,27,33,4,13,2,645200000,3,1773.88,27.8,17,14,9,9,5,5,1,1,1,1
2022,Australia,Oceania,0,69,19,21,6,6,0,38400000,38,1488.72,27.5,5,1,1,0,0,0,0,0,0,0
2022,Belgium,Europe,0,129,45,35,8,7,0,563200000,2,1816.71,27.8,13,9,8,3,2,0,0,0,0,0
2022,Brazil,South America,0,111,19,37,3,10,5,1140000000,1,1841.3,27.9,21,19,11,15,10,6,0,0,0,1
2022,Cameroon,Africa,0,52,30,19,8,16,0,155000000,43,1471.44,26.3,7,1,1,1,0,0,0,0,0,0
2022,Canada,North America,0,126,34,31,10,5,0,187300000,41,1475,26.9,1,0,0,0,0,0,0,0,0,0
2022,Costa Rica,North America,0,55,58,20,20,14,0,18750000,31,1503.59,27.2,5,2,2,1,0,0,0,0,0,0
2022,Croatia,Europe,0,82,64,24,14,11,0,377000000,12,1645.64,27.4,5,2,2,2,2,1,0,0,1,1
2022,Denmark,Europe,0,108,39,31,10,9,0,353000000,10,1666.57,27.2,5,4,4,1,0,0,0,0,0,0
2022,Ecuador,South America,0,64,56,18,15,17,0,146500000,44,1464.39,25.6,3,1,1,0,0,0,0,0,0,0
2022,England,Europe,0,122,34,33,8,10,1,1260000000,5,1728.47,26.4,15,12,7,9,3,1,0,0,0,1
2022,France,Europe,0,101,40,31,6,12,2,1030000000,4,1759.78,26.5,15,9,7,8,6,3,0,1,1,1
2022,Germany,Europe,0,120,57,26,8,15,4,885500000,11,1650.21,26.7,19,18,10,16,13,8,0,0,0,0
2022,Ghana,Africa,0,44,33,16,10,12,0,216900000,61,1393,24.7,3,2,2,1,0,0,0,0,0,0
2022,Iran,Asia,0,86,22,28,6,6,0,59530000,20,1564.61,28.9,5,0,0,0,0,0,0,0,0,0
2022,Japan,Asia,0,127,40,39,11,8,0,154000000,24,1559.54,27.8,6,3,3,0,0,0,0,0,0,0
2022,Mexico,North America,0,115,64,39,16,13,0,176100000,13,1644.89,28.5,16,9,8,2,0,0,0,0,0,0
2022,Morocco,Africa,0,89,30,32,6,12,0,241100000,22,1563.5,26.2,5,1,1,0,0,0,0,0,1,1
2022,Netherlands,Europe,0,111,44,30,7,11,0,587250000,8,1694.51,26.6,10,8,6,5,5,3,0,0,0,1
2022,Poland,Europe,0,83,53,22,14,12,0,255600000,26,1548.59,27,8,5,2,2,2,0,0,0,0,0
2022,Portugal,Europe,0,108,34,30,7,12,0,937000000,9,1676.56,26.8,7,4,3,2,2,0,0,0,0,1
2022,Qatar,Asia,1,113,70,38,18,11,0,14900000,50,1439.89,27,0,0,0,0,0,0,0,0,0,0
2022,Saudi Arabia,Asia,0,68,44,24,15,17,0,25200000,51,1437.78,27.3,5,1,1,0,0,0,0,0,0,0
2022,Senegal,Africa,0,82,33,33,6,13,0,228000000,18,1584.59,26.1,2,1,1,1,0,0,0,0,0,0
2022,Serbia,Europe,0,88,51,25,7,15,0,359500000,21,1563.62,26.8,12,7,2,5,2,0,0,0,0,0
2022,South Korea,Asia,0,95,38,34,7,12,0,164480000,28,1530.3,27.8,10,2,2,1,1,0,0,0,0,0
2022,Spain,Europe,0,115,38,31,6,14,1,877000000,7,1715.22,25.3,15,10,8,5,1,1,0,0,0,0
2022,Switzerland,Europe,0,90,57,22,15,13,0,281000000,15,1635.92,27,11,7,6,3,0,0,0,0,0,0
2022,Tunisia,Africa,0,84,39,33,14,10,0,62400000,30,1507.54,27.8,5,0,0,0,0,0,0,0,0,0
2022,United States,North America,0,119,47,37,14,11,0,277400000,16,1627.48,25.2,10,5,4,2,1,0,0,0,0,0
2022,Uruguay,South America,0,63,42,20,12,12,2,449700000,14,1638.71,27.8,13,10,5,6,4,1,0,0,0,0
2022,Wales,Europe,0,54,51,21,16,12,0,160150000,19,1569.82,26.4,1,1,0,1,0,0,0,0,0,0
2010,Algeria,Africa,0,43,46,18,14,7,0,229300000,30,821,26.5,2,0,0,0,0,0,0,0,0,0
2010,Argentina,South America,0,84,50,29,12,8,2,575000000,7,1076,27.9,14,11,6,7,4,4,0,0,0,1
2010,Australia,Oceania,0,59,33,23,10,12,0,32850000,20,886,27.6,2,1,1,0,0,0,0,0,0,0
2010,Brazil,South America,0,114,37,38,5,11,5,932000000,1,1611,27.8,18,16,8,12,9,6,0,0,0,1
2010,Cameroon,Africa,0,76,45,22,11,10,0,256030000,19,887,25.6,5,1,1,1,0,0,0,0,0,0
2010,Chile,South America,0,79,65,31,17,11,0,80300000,18,888,25.3,7,2,1,1,1,0,0,0,0,0
2010,Denmark,Europe,0,61,40,19,12,11,0,381600000,36,767,27.2,3,3,3,1,0,0,0,0,0,0
2010,England,Europe,0,93,32,27,9,6,1,1300000000,8,1068,26.8,12,10,5,8,2,1,0,0,0,0
2010,France,Europe,0,67,37,26,11,11,1,1290000000,9,1044,26.8,12,7,5,6,5,2,0,0,0,0
2010,Germany,Europe,0,119,36,34,7,8,3,828000000,6,1082,26.7,16,16,8,14,11,7,0,0,1,1
2010,Ghana,Africa,0,73,52,26,15,9,0,164930000,32,800,25.1,1,1,1,0,0,0,0,0,0,1
2010,Greece,Europe,0,63,49,21,14,8,0,254700000,13,964,26.4,1,0,0,0,0,0,0,0,0,0
2010,Honduras,North America,0,110,63,37,19,8,0,15500000,38,734,28.1,1,0,0,0,0,0,0,0,0,0
2010,Italy,Europe,0,69,45,24,9,14,4,827000000,5,1184,27.3,16,11,8,9,8,6,0,0,0,0
2010,Ivory Coast,Africa,0,96,41,26,9,13,0,370800000,27,856,26.6,1,0,0,0,0,0,0,0,0,0
2010,Japan,Asia,0,117,53,36,13,17,0,223500000,45,682,26.5,3,1,1,0,0,0,0,0,0,0
2010,Mexico,North America,0,133,67,42,19,10,0,142100000,17,895,25.7,13,6,5,2,0,0,0,0,0,0
2010,Netherlands,Europe,0,95,31,33,5,10,0,808000000,4,1231,26.7,8,8,6,4,3,2,0,1,1,1
2010,New Zealand,Oceania,0,28,40,8,11,4,0,16430000,78,410,27.8,1,0,0,0,0,0,0,0,0,0
2010,Nigeria,Africa,0,58,29,24,8,12,0,281780000,21,883,27.5,3,2,2,0,0,0,0,0,0,0
2010,North Korea,Asia,0,89,44,21,15,19,0,6900000,105,285,25.3,1,1,0,1,0,0,0,0,0,0
2010,Paraguay,South America,0,52,54,17,18,14,0,123950000,31,820,28.4,7,3,3,0,0,0,0,0,0,1
2010,Portugal,Europe,0,80,38,25,8,13,0,841000000,3,1249,27.1,4,2,1,2,2,0,0,0,0,0
2010,Serbia,Europe,0,77,41,23,11,11,0,266700000,15,947,26.7,10,7,2,5,2,0,0,0,0,0
2010,Slovakia,Europe,0,82,64,18,19,6,0,130050000,34,777,28.6,0,0,0,0,0,0,0,0,0,0
2010,Slovenia,Europe,0,47,40,14,16,6,0,150600000,25,860,27.7,1,0,0,0,0,0,0,0,0,0
2010,South Africa,Africa,1,80,54,31,22,17,0,46350000,83,392,26.3,2,0,0,0,0,0,0,0,0,0
2010,South Korea,Asia,0,81,43,26,11,18,0,118800000,47,632,27.6,7,1,1,1,1,0,0,0,0,0
2010,Spain,Europe,0,121,31,46,4,4,0,1150000000,2,1565,27.2,12,8,6,4,0,0,1,1,1,1
2010,Switzerland,Europe,0,58,45,18,15,7,0,251000000,24,866,27.5,8,5,4,3,0,0,0,0,0,0
2010,United States,North America,0,112,74,36,19,6,0,169700000,14,957,26,8,4,3,2,1,0,0,0,0,0
2010,Uruguay,South America,0,71,47,19,11,13,2,419200000,16,899,26.6,10,7,2,4,3,1,0,0,1,1
2014,Algeria,Africa,0,49,29,19,8,6,0,57000000,22,858,26.6,0,0,0,0,0,0,0,0,0,0
2014,Argentina,South America,0,98,46,29,7,15,0,392000000,5,1175,28.92,0,0,0,0,0,0,0,1,1,1
2014,Australia,Oceania,0,93,57,25,14,11,0,21000000,62,526,26.36,0,0,0,0,0,0,0,0,0,0
2014,Belgium,Europe,0,71,41,21,8,12,0,348000000,11,1074,25.96,0,0,0,0,0,0,0,0,0,1
2014,Bosnia and Herzegovina,Europe,0,69,41,20,11,7,0,115000000,21,873,27.06,0,0,0,0,0,0,0,0,0,0
2014,Brazil,South America,1,125,38,37,8,10,0,468000000,3,1242,28.36,0,0,0,0,0,0,0,0,1,1
2014,Cameroon,Africa,0,61,37,20,8,14,0,117000000,56,558,26.6,0,0,0,0,0,0,0,0,0,0
2014,Chile,South America,0,84,58,24,15,9,0,139000000,14,1026,28,0,0,0,0,0,0,0,0,0,0
2014,Colombia,South America,0,58,25,22,8,11,0,191000000,8,1137,27.47,0,0,0,0,0,0,0,0,0,1
2014,Costa Rica,North America,0,79,69,24,23,20,0,30000000,28,762,27.43,0,0,0,0,0,0,0,0,0,1
2014,Croatia,Europe,0,67,39,23,9,11,0,197000000,18,903,27.36,0,0,0,0,0,0,0,0,0,0
2014,Ecuador,South America,0,74,57,18,13,16,0,62000000,26,791,27.73,0,0,0,0,0,0,0,0,0,0
2014,England,Europe,0,83,36,24,5,14,0,334000000,10,1090,26.57,0,0,0,0,0,0,0,0,0,0
2014,France,Europe,0,82,34,27,10,12,0,379000000,17,913,26.84,0,0,0,0,0,0,0,0,0,1
2014,Germany,Europe,0,127,60,32,6,11,0,526000000,2,1300,26.19,0,0,0,0,0,0,1,1,1,1
2014,Ghana,Africa,0,86,41,27,13,11,0,96000000,37,704,25.45,0,0,0,0,0,0,0,0,0,0
2014,Greece,Europe,0,53,31,25,5,15,0,80000000,12,1064,28.51,0,0,0,0,0,0,0,0,0,0
2014,Honduras,North America,0,74,77,21,22,18,0,21000000,33,731,28.59,0,0,0,0,0,0,0,0,0,0
2014,Iran,Asia,0,100,36,32,8,14,0,24000000,43,641,28.5,0,0,0,0,0,0,0,0,0,0
2014,Italy,Europe,0,79,55,22,11,20,0,323000000,9,1104,27.9,0,0,0,0,0,0,0,0,0,0
2014,Ivory Coast,Africa,0,88,40,28,5,10,0,122000000,23,809,27.83,0,0,0,0,0,0,0,0,0,0
2014,Japan,Asia,0,102,57,32,11,11,0,98000000,46,626,27.32,0,0,0,0,0,0,0,0,0,0
2014,Mexico,North America,0,109,58,34,17,13,0,97000000,20,882,27.26,0,0,0,0,0,0,0,0,0,0
2014,Netherlands,Europe,0,106,39,27,8,11,0,208000000,15,981,26.47,0,0,0,0,0,0,0,0,1,1
2014,Nigeria,Africa,0,87,46,24,9,19,0,84000000,44,640,25.81,0,0,0,0,0,0,0,0,0,0
2014,Portugal,Europe,0,91,46,25,8,12,0,297000000,4,1189,28.53,0,0,0,0,0,0,0,0,0,0
2014,Russia,Europe,0,67,25,24,6,14,0,180000000,19,893,27.48,0,0,0,0,0,0,0,0,0,0
2014,South Korea,Asia,0,76,62,24,16,11,0,52000000,57,547,26.19,0,0,0,0,0,0,0,0,0,0
2014,Spain,Europe,0,125,39,40,6,8,0,622000000,1,1485,28.25,0,0,0,0,0,0,0,0,0,0
2014,Switzerland,Europe,0,54,33,19,6,11,0,178000000,6,1149,26.07,0,0,0,0,0,0,0,0,0,0
2014,United States,North America,0,93,64,34,16,11,0,58000000,13,1035,27.81,0,0,0,0,0,0,0,0,0,0
2014,Uruguay,South America,0,93,56,25,11,14,0,218000000,7,1147,28.55,0,0,0,0,0,0,0,0,0,0
2002,Argentina,South America,0,70,34,23,5,10,2,,3,784,28.83,12,10,5,6,4,4,0,0,0,0
2002,Belgium,Europe,0,66,43,17,11,12,0,,23,653,29.45,10,6,5,1,1,0,0,0,0,0
2002,Brazil,South America,0,144,53,38,13,12,4,,2,784,26.7,16,14,6,10,8,5,1,1,1,1
2002,Cameroon,Africa,0,65,25,23,5,13,0,,17,672,25.4,4,1,1,1,0,0,0,0,0,0
2002,China PR,Asia,0,126,47,29,14,12,0,,50,566,26.65,0,0,0,0,0,0,0,0,0,0
2002,Costa Rica,North America,0,103,61,27,16,13,0,,29,643,27.49,1,1,1,0,0,0,0,0,0,0
2002,Croatia,Europe,0,50,37,14,7,17,0,,21,655,28.13,1,1,1,1,1,0,0,0,0,0
2002,Denmark,Europe,0,62,38,20,10,11,0,,20,657,27.96,2,2,2,1,0,0,0,0,0,0
2002,Ecuador,South America,0,59,56,20,18,13,0,,36,624,27.88,0,0,0,0,0,0,0,0,0,0
2002,England,Europe,0,65,34,17,9,14,1,,12,694,27.16,10,8,3,6,2,1,0,0,0,1
2002,France,Europe,0,101,39,33,6,10,1,,1,802,28.84,10,6,4,5,4,1,0,0,0,0
2002,Germany,Europe,0,100,58,24,13,10,3,,11,695,28.15,14,14,6,12,9,6,0,1,1,1
2002,Italy,Europe,0,53,26,21,7,11,3,,6,717,28.15,14,9,6,8,7,5,0,0,0,0
2002,Japan,Asia,1,86,49,24,13,15,0,,32,634,25.8,1,0,0,0,0,0,0,0,0,0
2002,Mexico,North America,0,132,90,41,25,16,0,,7,716,28.99,11,4,3,2,0,0,0,0,0,0
2002,Nigeria,Africa,0,71,36,26,7,12,0,,27,644,23.92,2,2,2,0,0,0,0,0,0,0
2002,Paraguay,South America,0,66,58,21,14,14,0,,18,671,28.2,5,2,2,0,0,0,0,0,0,0
2002,Poland,Europe,0,63,41,21,10,12,0,,38,615,28.78,5,5,2,2,2,0,0,0,0,0
2002,Portugal,Europe,0,109,33,28,5,9,0,,5,726,28.29,2,1,0,1,1,0,0,0,0,0
2002,Republic of Ireland,Europe,0,66,28,21,7,9,0,,15,674,27.48,2,2,2,1,0,0,0,0,0,0
2002,Russia,Europe,0,59,40,18,10,10,0,,28,644,27.8,1,0,0,0,0,0,0,0,0,0
2002,Saudi Arabia,Asia,0,156,73,48,17,13,0,,34,627,26.3,2,1,1,0,0,0,0,0,0,0
2002,Senegal,Africa,0,79,46,26,12,21,0,,42,599,25.23,0,0,0,0,0,0,0,0,0,1
2002,Slovenia,Europe,0,64,53,18,10,16,0,,25,649,28.57,0,0,0,0,0,0,0,0,0,0
2002,South Africa,Africa,0,72,50,30,14,17,0,,37,623,26.77,1,0,0,0,0,0,0,0,0,0
2002,South Korea,Asia,1,95,60,28,14,23,0,,40,603,27.13,5,0,0,0,0,0,0,0,1,1
2002,Spain,Europe,0,97,35,25,8,7,0,,8,713,27.11,10,6,4,3,0,0,0,0,0,1
2002,Sweden,Europe,0,64,29,24,8,16,0,,19,665,27.22,9,6,2,4,3,1,0,0,0,0
2002,Tunisia,Africa,0,85,44,23,11,16,0,,31,635,27.48,2,0,0,0,0,0,0,0,0,0
2002,Turkey,Europe,0,46,33,15,10,11,0,,22,654,28.04,1,0,0,0,0,0,0,0,1,1
2002,United States,North America,0,91,46,30,16,13,0,,13,690,28.76,6,3,2,1,1,0,0,0,0,1
2002,Uruguay,South America,0,56,50,18,15,12,2,,24,652,25.76,9,7,2,4,3,1,0,0,0,0
